scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
optimumSan_who030718_v2,casesAverted,2029,108247.96042706812,107191.15015118929,100505.93125462756,111913.69836102672,optimumSan
optimumSan_who030718_v2,casesAverted,2030,120521.2325618346,119392.11743139313,112105.47514528464,124480.3890634992,optimumSan
optimumSan_who030718_v2,casesAverted,2031,130632.96950662145,129470.27456629314,121783.92342124623,135038.9686553073,optimumSan
optimumSan_who030718_v2,casesAverted,2032,135583.80673529697,134419.87984341438,126550.75554233437,140342.61445220714,optimumSan
optimumSan_who030718_v2,casesAverted,2033,138041.20465954157,136908.07956506324,128959.66337369321,142908.20501782146,optimumSan
optimumSan_who030718_v2,casesAverted,2034,139371.4915416953,138222.85917951202,130233.4061456899,144263.02621555774,optimumSan
optimumSan_who030718_v2,casesAverted,2035,139371.49150932996,138222.85920014122,130233.40607143429,144263.02634101306,optimumSan
optimumSan_who030718_v2,dalysAverted,2018,3575.114429466821,3575.966595601288,3363.094716637806,3704.6291711900244,optimumSan
optimumSan_who030718_v2,dalysAverted,2019,8869.5712918668,8794.930591008948,8343.788256739366,9117.095140144798,optimumSan
optimumSan_who030718_v2,dalysAverted,2020,12923.291897201441,12800.39636706297,12051.805674462707,13319.006382831538,optimumSan
optimumSan_who030718_v2,dalysAverted,2021,18962.47682344504,18793.38289857944,17812.338465911715,19466.138856058868,optimumSan
optimumSan_who030718_v2,dalysAverted,2022,26815.50702697828,26573.54122695795,25067.839412759815,27609.89343431416,optimumSan
optimumSan_who030718_v2,dalysAverted,2023,32660.991354852405,32322.875738335224,30262.542743392547,33741.14629267424,optimumSan
optimumSan_who030718_v2,dalysAverted,2024,39761.601625601645,39359.577854518095,36949.154131070965,41017.68826959787,optimumSan
optimumSan_who030718_v2,dalysAverted,2025,49079.32897223893,48589.264465227614,45651.07674120368,50639.56419975085,optimumSan
optimumSan_who030718_v2,dalysAverted,2026,56247.51724620873,55687.59868390181,52195.49241237478,58161.664106224234,optimumSan
optimumSan_who030718_v2,dalysAverted,2027,64591.53146903201,63946.334014774846,60068.9753707144,66676.63492612862,optimumSan
optimumSan_who030718_v2,dalysAverted,2028,75194.2522653696,74482.83612655956,70048.98264578012,77653.25989714017,optimumSan
optimumSan_who030718_v2,dalysAverted,2029,83364.18481541719,82587.58668732202,77567.86700764699,86224.41609164081,optimumSan
optimumSan_who030718_v2,dalysAverted,2030,93013.00221817421,92182.44008656865,86766.2884666202,96085.6520487408,optimumSan
optimumSan_who030718_v2,dalysAverted,2031,101523.97210403849,100602.56332731724,94894.72069592337,104687.86482050095,optimumSan
optimumSan_who030718_v2,dalysAverted,2032,105681.99753824383,104765.15679878955,98901.39655483534,109007.93198067442,optimumSan
optimumSan_who030718_v2,dalysAverted,2033,107748.75498402312,106850.16267492773,100932.35380858941,111151.08768341994,optimumSan
optimumSan_who030718_v2,dalysAverted,2034,108824.52173104795,107935.25779133617,102001.81586402527,112234.98955060846,optimumSan
optimumSan_who030718_v2,dalysAverted,2035,108824.52154785996,107935.25781967962,102001.81565611338,112234.98971071237,optimumSan
optimumSan_who030718_v2,deathsAverted,2018,165.24520305079284,165.31882847452502,155.41652397584292,171.3268031148012,optimumSan
optimumSan_who030718_v2,deathsAverted,2019,410.2136920023744,406.67509930817175,385.82346421082167,421.59882970535597,optimumSan
optimumSan_who030718_v2,deathsAverted,2020,598.2473854254808,592.5054988840742,557.7035221683456,616.0971694427063,optimumSan
optimumSan_who030718_v2,deathsAverted,2021,869.3613501652319,861.4660576069253,815.9119732428011,892.5581581998524,optimumSan
optimumSan_who030718_v2,deathsAverted,2022,1222.3550276915055,1211.0685790523119,1141.8250503213549,1258.6925452209512,optimumSan
optimumSan_who030718_v2,deathsAverted,2023,1485.3213787203858,1469.3707677741968,1374.489341312743,1533.9464349439477,optimumSan
optimumSan_who030718_v2,deathsAverted,2024,1803.9718845877487,1785.0714518581806,1673.6621457780052,1860.8868001357214,optimumSan
optimumSan_who030718_v2,deathsAverted,2025,2222.3427479075262,2199.7190826608476,2064.392412251128,2293.065366154463,optimumSan
optimumSan_who030718_v2,deathsAverted,2026,2534.522285198699,2508.183195319459,2347.766866021428,2620.809281943579,optimumSan
optimumSan_who030718_v2,deathsAverted,2027,2899.6679586652945,2870.083335491301,2692.3240967930183,2994.5898507969287,optimumSan
optimumSan_who030718_v2,deathsAverted,2028,3365.3905802710833,3332.0253772201468,3128.9915108459118,3476.0830558782595,optimumSan
optimumSan_who030718_v2,deathsAverted,2029,3718.3684954453347,3682.8847619125904,3452.9711822404756,3848.2452389914392,optimumSan
optimumSan_who030718_v2,deathsAverted,2030,4142.025747280395,4102.389922304865,3855.3940939030617,4278.537672177939,optimumSan
optimumSan_who030718_v2,deathsAverted,2031,4489.850302339298,4448.062524151617,4188.353864555658,4631.569213012293,optimumSan
optimumSan_who030718_v2,deathsAverted,2032,4660.100242499715,4617.9618167537565,4352.213056833844,4806.764670320219,optimumSan
optimumSan_who030718_v2,deathsAverted,2033,4746.612102342568,4703.502820056581,4436.747162015389,4893.514111908581,optimumSan
optimumSan_who030718_v2,deathsAverted,2034,4791.480377560103,4748.667414892084,4481.863765598546,4938.7625529043635,optimumSan
optimumSan_who030718_v2,deathsAverted,2035,4791.480387953568,4748.667416049008,4481.863781325056,4938.762571395893,optimumSan
optimumWash_who030718_v2,cases,2018,151748.62290409568,151776.29330102005,149900.88755911068,154526.857646341,optimumWash
optimumWash_who030718_v2,cases,2019,299807.99398795515,300211.39824825025,297513.4867107009,305071.5227619695,optimumWash
optimumWash_who030718_v2,cases,2020,454865.7891647095,455450.1170865233,451387.0759578406,463082.4033611774,optimumWash
optimumWash_who030718_v2,cases,2021,613907.879355263,614475.4684528344,608576.1078962774,625296.420329043,optimumWash
optimumWash_who030718_v2,cases,2022,772023.2555252784,772727.4044149575,765210.9952418125,786141.2400820466,optimumWash
optimumWash_who030718_v2,cases,2023,937707.9765255903,938671.656179959,929649.7826688909,955015.096719567,optimumWash
optimumWash_who030718_v2,cases,2024,1110096.6048516673,1110998.893406005,1100049.9465030981,1130960.3047457016,optimumWash
optimumWash_who030718_v2,cases,2025,1280595.8911638265,1281845.2151547412,1268663.476722624,1304628.1509899735,optimumWash
optimumWash_who030718_v2,cases,2026,1459190.5722176326,1460901.81845599,1446478.6268119167,1486565.123508637,optimumWash
optimumWash_who030718_v2,cases,2027,1645486.0952820098,1647209.1598180472,1631113.5206526562,1676559.4899486066,optimumWash
optimumWash_who030718_v2,cases,2028,1829520.6765606883,1831711.506873028,1813456.1637627827,1863913.4408681276,optimumWash
optimumWash_who030718_v2,cases,2029,2022875.5238770195,2025529.994104558,2005931.080060002,2060763.4513600145,optimumWash
optimumWash_who030718_v2,cases,2030,2225049.4164778246,2227740.4248601194,2206422.782780086,2266888.9201566796,optimumWash
optimumWash_who030718_v2,cases,2031,2438289.982232136,2440999.2903874656,2417458.0986978165,2484212.486428749,optimumWash
optimumWash_who030718_v2,cases,2032,2664904.4766834243,2667900.621427733,2642173.233074674,2715221.4643950365,optimumWash
optimumWash_who030718_v2,cases,2033,2902697.664290265,2905837.4447917966,2877643.6345858634,2957488.5986782922,optimumWash
optimumWash_who030718_v2,cases,2034,3148955.958063949,3152360.7437723363,3121300.788243819,3208389.092940311,optimumWash
optimumWash_who030718_v2,cases,2035,3404081.821186641,3407535.923151764,3373282.964456178,3468020.2569168387,optimumWash
optimumWash_who030718_v2,cases_cf,2018,156990.30655965395,157028.2881428084,155087.62563293867,159704.29539925646,optimumWash
optimumWash_who030718_v2,cases_cf,2019,318512.28202542337,318587.63077762676,314646.36528378853,324018.54225616495,optimumWash
optimumWash_who030718_v2,cases_cf,2020,484699.053094294,484811.089792765,478807.4201521016,493078.1723971166,optimumWash
optimumWash_who030718_v2,cases_cf,2021,655687.7321026756,655835.709293737,647705.9154998197,667022.6720653353,optimumWash
